Host.Family,BLFamilyLatin,species_clean,species_jetz,foraging_cat,elevation_cat,TipLabel,Full_Label,sociality,keycol,valuecol
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,1,ectos_binomial,Rallicola_(various…)
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,1,ectos_binomial,Rallicola_(various…)
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,1,ectos_binomial,Ricinus_new sp?
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,1,ectos_binomial2,Ricinus_new sp?
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,1,ectos_binomial2,_
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,1,ectos_binomial2,_
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,1,ectos_binomial2,_
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,1,ectos_binomial3,_
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,1,ectos_binomial3,_
